number,first_name,last_name,gender,birth_date,employment_status,annual_salary,output
743,Dessa,Crona,F,06-04-1975,,60560,yes
767,Joshua,Renner,M,26-02-1979,PE,109423,no
88,Tempie,Heller,F,10-07-1983,PE,141141,no
419,Tari,Waelchi,F,08-10-1998,PE,84696,yes
724,Gunnar,Prosacco,M,26-01-1979,PE,126024,no
607,Alto,Wisozk,F,11-01-1975,PE,136728,no
792,Nanci,Schuppe,F,30-12-1989,PE,56949,yes
367,Kerwin,Purdy,,03-01-1979,PE,55215,yes
835,Olar,Pagac,M,15-02-1997,,93548,yes
260,Karley,Hahn,M,24-08-1984,PE,134543,no
772,Linsey,Grant,F,11-11-1974,PE,73168,yes
36,Callie,Lesch,M,04-10-1992,,66278,yes
699,Gloria,Treutel,F,16-12-1995,PE,100276,no
544,Henrietta,Greenholt,,06-04-1977,PE,93206,yes
931,Sommer,Johnston,F,24-11-1972,PE,95217,yes
995,Diamond,Corkery,M,25-05-1974,PE,132008,no
893,Cheyenne,Schroeder,M,21-02-1972,CA,126051,no
301,Jimmie,Wisoky,F,15-03-1982,PE,55945,yes
95,Jase,Dibbert,M,03-12-1972,PE,146698,no
819,Jed,Casper,,21-04-1998,CA,98343,yes
137,Rosco,Lynch,,20-06-1989,PE,103499,no
562,Alpheus,Mayer,F,25-01-1977,PE,83631,yes
385,Marina,Stark,M,19-02-1995,TE,98078,yes
97,Jonnie,McDermott,M,13-07-1980,CA,100740,no
916,Jerrad,Orn,,15-12-1976,PE,142640,no
762,Fitzgerald,Welch,M,11-04-1991,CA,88134,yes
308,Elberta,Harvey,F,29-12-1988,PE,146691,no
799,Valentino,Hudson,M,16-09-1988,PE,98463,yes
606,Patty,Swift,F,26-12-1987,CA,126589,no
712,Dann,Crooks,,25-12-1983,CA,66592,yes
132,Maxim,Orn,M,01-03-1971,CA,127966,no
126,Kimberli,Walter,M,07-03-1976,CA,60712,yes
277,Talmage,Bartell,F,19-02-1989,PE,103606,no
960,Laurie,Nienow,M,01-04-1993,PE,127405,no
